"key","English (en)","Vietnamese (vi)","Status"
"nav.settings","Settings","Cài đặt","translated"
"network.chipnet","Chipnet","Chipnet","stable-term"
"network.mainnet","Mainnet","Mainnet","stable-term"
"network.switch","Switch network. Current: {network}","Chuyển mạng. Hiện tại: {network}","translated"
"nftConfig.capability","NFT Capability","Quyền hạn NFT","translated"
"nftConfig.commitment","NFT Commitment","Commitment NFT","translated"
"nftConfig.done","Done","Hoàn tất","translated"
"nftConfig.minting","minting","phát hành","translated"
"nftConfig.mintingDescription","one NFT authority that can create multiple next NFTs.","một quyền hạn NFT có thể tạo nhiều NFT tiếp theo.","translated"
"nftConfig.mutable","mutable","có thể thay đổi","translated"
"nftConfig.mutableDescription","one NFT that may update its commitment when spent.","một NFT có thể cập nhật commitment khi được chi.","translated"
"nftConfig.none","none","không có","translated"
"nftConfig.noneDescription","one immutable NFT, best for approvals or receipts.","một NFT bất biến, phù hợp cho phê duyệt hoặc biên nhận.","translated"
"nftConfig.placeholder","Up to 40 bytes","Tối đa 40 byte","translated"
"nftConfig.title","NFT Configuration","Cấu hình NFT","translated"
"nostr.active","{active}/{total} active","{active}/{total} đang hoạt động","translated"
"nostr.add","Add","Thêm","translated"
"nostr.chat","Nostr chat","Trò chuyện Nostr","translated"
"nostr.checking","Checking…","Đang kiểm tra…","translated"
"nostr.checkRelayStatus","Check relay status","Kiểm tra trạng thái relay","translated"
"nostr.connected","connected","đã kết nối","translated"
"nostr.deriving","Deriving…","Đang dẫn xuất…","translated"
"nostr.disable","Disable","Tắt","translated"
"nostr.dmDescription","End-to-end encrypted DMs using NIP-17.","Tin nhắn trực tiếp mã hóa đầu cuối bằng NIP-17.","translated"
"nostr.enable","Enable","Bật","translated"
"nostr.identity","Nostr identity","Danh tính Nostr","translated"
"nostr.identityDescription","Derived from your seed via NIP-06 (a separate path) — your spending keys are never reused.","Dẫn xuất từ seed qua NIP-06 (đường dẫn riêng) — khóa chi không bao giờ được dùng lại.","translated"
"nostr.invalidRelay","Enter a secure relay URL beginning with wss://","Nhập URL relay an toàn bắt đầu bằng wss://","translated"
"nostr.privacyWarning","Relay operators can still observe connection metadata, timing, and recipient tags. Encrypted content is not the same as network anonymity.","Nhà vận hành relay vẫn có thể thấy siêu dữ liệu kết nối, thời gian và tag người nhận. Nội dung mã hóa không đồng nghĩa với ẩn danh mạng.","translated"
"nostr.relays","Relays","Relay","stable-term"
"nostr.relaysDescription","WSS relays used for chat and the P2P-fusion transport. Add your own or use the defaults.","Relay WSS dùng cho trò chuyện và truyền tải P2P-Fusion. Thêm relay của bạn hoặc dùng mặc định.","translated"
"nostr.remove","Remove","Xóa","translated"
"nostr.unknown","unknown","không rõ","translated"
"nostr.unreachable","unreachable","không thể truy cập","translated"
"notifications.dismiss","Dismiss","Bỏ qua","translated"
"notifications.fundsReceived","Funds received","Đã nhận tiền","translated"
"notifications.fundsReceivedBody","{amount} sats to {address} • {txid}","{amount} sats đến {address} • {txid}","translated"
"notifications.incomingBch","Incoming BCH","Đã nhận BCH","translated"
"notifications.incomingToken","Incoming token","Đã nhận token","translated"
"notifications.transactionConfirmed","Transaction confirmed","Giao dịch đã xác nhận","translated"
"notifications.unknownAddress","unknown address","địa chỉ không xác định","translated"
"onboarding.back","Back","Quay lại","translated"
"onboarding.closeHelp","Close help","Đóng trợ giúp","translated"
"onboarding.confirm","Confirm","Xác nhận","translated"
"onboarding.confirmError","Those don't match your seed phrase. Check the words and try again.","Các từ không khớp với cụm từ hạt giống. Hãy kiểm tra và thử lại.","translated"
"onboarding.confirmInstruction","Type the requested words to prove you saved them correctly.","Nhập các từ được yêu cầu để xác nhận bạn đã lưu đúng.","translated"
"onboarding.confirmPasswordPlaceholder","Confirm password","Xác nhận mật khẩu","translated"
"onboarding.confirmSeed","Confirm Your Seed Phrase","Xác nhận cụm từ khôi phục","translated"
"onboarding.connectHardware","Connect Hardware Wallet","Kết nối ví phần cứng","translated"
"onboarding.continue","Continue","Tiếp tục","translated"
"onboarding.createNewWallet","Create New Wallet","Tạo ví mới","translated"
"onboarding.createWallet","Create Wallet","Tạo ví","translated"
"onboarding.createWatchOnly","Create Watch-Only Wallet","Tạo ví chỉ xem","translated"
"onboarding.creating","Creating Wallet…","Đang tạo ví…","translated"
"onboarding.creationFailed","Wallet creation failed. Please try again.","Tạo ví thất bại. Hãy thử lại.","translated"
"onboarding.databasePreparationFailed","Could not prepare the wallet on this device.","Không thể chuẩn bị ví trên thiết bị này.","translated"
"onboarding.generatedMnemonic","Generated Mnemonic:","Cụm từ khôi phục đã tạo:","translated"
"onboarding.generatingSeed","Generating seed phrase…","Đang tạo cụm từ khôi phục…","translated"
"onboarding.helpCreateDescription","Use this if you want a new wallet with a fresh seed phrase on this device.","Dùng tùy chọn này để tạo ví mới với cụm từ hạt giống mới trên thiết bị này.","translated"
"onboarding.helpCreateTitle","Create Wallet","Tạo ví","translated"
"onboarding.helpDescription","Create a wallet for the first time or restore one you already have.","Tạo ví lần đầu hoặc khôi phục ví bạn đã có.","translated"
"onboarding.helpImportDescription","Use this if you already have a 12-word recovery phrase and want access to an existing wallet.","Dùng tùy chọn này nếu bạn đã có cụm từ khôi phục 12 từ và muốn truy cập ví hiện có.","translated"
"onboarding.helpImportTitle","Import Wallet","Nhập ví","translated"
"onboarding.helpNetworkDescription","Select Mainnet for real funds or CHIPNET for test funds before you proceed.","Chọn Mainnet cho tiền thật hoặc CHIPNET cho tiền thử nghiệm trước khi tiếp tục.","translated"
"onboarding.helpNetworkTitle","Choose a network","Chọn mạng","translated"
"onboarding.helpTitle","Getting started","Bắt đầu","translated"
"onboarding.importFailed","Wallet import failed. Please try again.","Nhập ví thất bại. Hãy thử lại.","translated"
"onboarding.importing","Importing Wallet…","Đang nhập ví…","translated"
"onboarding.importWallet","Import Wallet","Nhập ví","translated"
"onboarding.invalidMnemonic","Enter a valid English BIP39 recovery phrase with 12, 15, 18, 21, or 24 words.","Nhập cụm từ khôi phục BIP39 hợp lệ bằng tiếng Anh gồm 12, 15, 18, 21 hoặc 24 từ.","translated"
"onboarding.missingWord","Word {number} is missing.","Thiếu từ {number}.","translated"
"onboarding.mnemonicLoading","The recovery phrase is still loading. Please wait a moment.","Cụm từ khôi phục vẫn đang tải. Vui lòng chờ một chút.","translated"
"onboarding.mnemonicWarning","Your recovery phrase is the master key to your wallet. Store it securely and never share it.","Cụm từ khôi phục là chìa khóa chính của ví. Hãy cất giữ an toàn và không bao giờ chia sẻ.","translated"
"onboarding.nameRequired","Give this wallet a name.","Hãy đặt tên cho ví này.","translated"
"onboarding.nameWallet","Name This Wallet","Đặt tên cho ví này","translated"
"onboarding.nameWalletDescription","Give this wallet a name and a password. Each wallet on this device has its own independent password.","Đặt tên và mật khẩu cho ví này. Mỗi ví trên thiết bị có mật khẩu độc lập riêng.","translated"
"onboarding.passwordMismatch","Passwords do not match.","Mật khẩu không khớp.","translated"
"onboarding.passwordPlaceholder","Password (or leave blank)","Mật khẩu (hoặc để trống)","translated"
"onboarding.poweredBy","Powered with Bitcoin Covenants for Bitcoin Cash","Được hỗ trợ bởi Bitcoin Covenants cho Bitcoin Cash","translated"
"onboarding.recoveryDescription","Enter your BIP39 recovery phrase (12, 15, 18, 21, or 24 words). Each box corresponds to the word order.","Nhập cụm từ khôi phục BIP39 bằng tiếng Anh (12, 15, 18, 21 hoặc 24 từ). Mỗi ô tương ứng với thứ tự của một từ.","translated"
"onboarding.recoveryPhrase","Recovery Phrase","Cụm từ khôi phục","translated"
"onboarding.seedInstruction","Write these 12 words down in order and keep them somewhere safe. Anyone with this phrase can spend your funds — never share it or store it digitally.","Ghi lại 12 từ này theo đúng thứ tự và cất ở nơi an toàn. Bất kỳ ai có cụm từ này đều có thể dùng tiền của bạn — không chia sẻ hoặc lưu cụm từ dưới dạng kỹ thuật số.","translated"
"onboarding.seedTitle","Your Seed Phrase","Cụm từ khôi phục của bạn","translated"
"onboarding.toggleTheme","Toggle theme","Đổi giao diện","translated"
"onboarding.walletAlreadyAvailable","This wallet is already available on this device.","Ví này đã có sẵn trên thiết bị.","translated"
"onboarding.walletAlreadyExists","This wallet may already exist on this device.","Ví này có thể đã tồn tại trên thiết bị.","translated"
"onboarding.walletNamePlaceholder","Wallet name","Tên ví","translated"
"onboarding.walletSavedIdFailed","Wallet was saved, but its wallet ID could not be resolved.","Đã lưu ví nhưng không thể xác định ID của ví.","translated"
"onboarding.walletSetup","Wallet Setup","Thiết lập ví","translated"
"onboarding.walletSetupDescription","Choose the network and address path this wallet will use.","Chọn mạng và đường dẫn địa chỉ mà ví này sẽ sử dụng.","translated"
"onboarding.welcomeAlt","OPTN Wallet","Ví OPTN","stable-term"
"onboarding.word","Word","Từ","translated"
"onboarding.wordCountLabel","Phrase length","Độ dài cụm từ","translated"
"onboarding.wordPlaceholder","word","từ","translated"
"onboarding.words","words","từ","translated"
"onboarding.wroteItDown","I've written it down","Tôi đã ghi lại","translated"
"outbox.amount","Amount","Số lượng","translated"
