"key","English (en)","Arabic (ar)","Status"
"history.confirmed","Confirmed","مؤكدة","translated"
"history.detailsUnavailable","Transaction details are not available from Electrum right now.","تفاصيل المعاملة غير متاحة من Electrum حاليًا.","translated"
"history.fee","Fee","الرسوم","translated"
"history.first","First","الأول","translated"
"history.last","Last","الأخير","translated"
"history.loadDetailsFailed","Failed to load transaction details.","فشل تحميل تفاصيل المعاملة.","translated"
"history.loadingDetails","Loading transaction details…","جارٍ تحميل تفاصيل المعاملة…","translated"
"history.newestFirst","Newest first","الأحدث أولًا","translated"
"history.noActivity","No activity yet","لا يوجد نشاط بعد","translated"
"history.noData","No data available.","لا تتوفر بيانات.","translated"
"history.noTransactions","No transactions available yet.","لا توجد معاملات متاحة بعد.","translated"
"history.oldestFirst","Oldest first","الأقدم أولًا","translated"
"history.openExplorer","Open in explorer","فتح في المستكشف","translated"
"history.output","Output","المخرج","translated"
"history.pending","Pending","معلّقة","translated"
"history.perPage","{count} per page","{count} في كل صفحة","translated"
"history.recipients","Recipients","المستلمون","translated"
"history.recorded","{count} recorded","{count} مسجلة","translated"
"history.senders","Senders","المرسلون","translated"
"history.status","Status","الحالة","stable-term"
"history.sync","Sync","مزامنة","translated"
"history.timestamp","Timestamp","الطابع الزمني","translated"
"history.title","Transaction History","سجل المعاملات","translated"
"history.transaction","Transaction","معاملة","stable-term"
"history.transactionHash","Transaction Hash","تجزئة المعاملة","translated"
"history.unavailable","Unavailable","غير متاح","translated"
"history.unconfirmed","Unconfirmed","غير مؤكدة","translated"
"history.unknown","Unknown","غير معروف","translated"
"history.yourWallet","Your wallet","محفظتك","translated"
"home.block","Block","كتلة","translated"
"home.confirmed","Confirmed","مؤكد","translated"
"home.latestActivity","Latest wallet activity","أحدث نشاط للمحفظة","translated"
"home.noQrCode","No QR code detected. Try again.","لم يتم العثور على رمز QR. حاول مرة أخرى.","translated"
"home.noRecentActivity","No recent activity yet.","لا يوجد نشاط حديث بعد.","translated"
"home.pending","Pending","معلّق","translated"
"home.pendingConfirmation","Pending confirmation","في انتظار التأكيد","translated"
"home.portfolio","Portfolio","المحفظة الاستثمارية","translated"
"home.quickActions","Quick Actions","إجراءات سريعة","translated"
"home.receive","Receive","استلام","translated"
"home.recentActivity","Recent Activity","النشاط الأخير","translated"
"home.scanQr","Scan QR","مسح QR","translated"
"home.send","Send","إرسال","translated"
"home.sync","Sync","مزامنة","translated"
"home.syncing","Syncing…","جارٍ المزامنة…","translated"
"home.title","Home","الرئيسية","translated"
"home.toggleBalance","Toggle BCH and USD balance","تبديل رصيد BCH وUSD","translated"
"home.unsupportedQr","QR scanned, but it is not a supported wallet payload.","تم مسح QR، لكنه ليس بيانات محفظة مدعومة.","translated"
"home.usdPriceUnavailable","USD price unavailable","سعر USD غير متاح","translated"
"home.usdUnavailable","USD unavailable","USD غير متاح","translated"
"home.viewAll","View all","عرض الكل","translated"
"home.walletOverview","Wallet overview","نظرة عامة على المحفظة","translated"
"nav.actions","Actions","الإجراءات","stable-term"
"nav.apps","Apps","التطبيقات","translated"
"nav.assets","Assets","الأصول","translated"
"nav.home","Home","الرئيسية","translated"
"nav.settings","Settings","الإعدادات","translated"
"network.chipnet","Chipnet","Chipnet","stable-term"
"network.mainnet","Mainnet","Mainnet","stable-term"
"network.switch","Switch network. Current: {network}","تبديل الشبكة. الحالية: {network}","translated"
"nftConfig.capability","NFT Capability","قدرة NFT","translated"
"nftConfig.commitment","NFT Commitment","التزام NFT","translated"
"nftConfig.done","Done","تم","translated"
"nftConfig.minting","minting","قابل للسك","translated"
"nftConfig.mintingDescription","one NFT authority that can create multiple next NFTs.","سلطة NFT واحدة يمكنها إنشاء عدة NFTs لاحقة.","translated"
"nftConfig.mutable","mutable","قابل للتغيير","translated"
"nftConfig.mutableDescription","one NFT that may update its commitment when spent.","NFT واحد يمكنه تحديث التزامه عند إنفاقه.","translated"
"nftConfig.none","none","لا شيء","translated"
"nftConfig.noneDescription","one immutable NFT, best for approvals or receipts.","NFT واحد غير قابل للتغيير، مناسب للموافقات أو الإيصالات.","translated"
"nftConfig.placeholder","Up to 40 bytes","حتى 40 بايت","translated"
"nftConfig.title","NFT Configuration","تهيئة NFT","translated"
"nostr.active","{active}/{total} active","{active}/{total} نشطة","translated"
"nostr.add","Add","إضافة","translated"
"nostr.chat","Nostr chat","محادثة Nostr","translated"
"nostr.checking","Checking…","جارٍ الفحص…","translated"
"nostr.checkRelayStatus","Check relay status","فحص حالة المرحلات","translated"
"nostr.connected","connected","متصل","translated"
"nostr.deriving","Deriving…","جارٍ الاشتقاق…","translated"
"nostr.disable","Disable","تعطيل","translated"
"nostr.dmDescription","End-to-end encrypted DMs using NIP-17.","رسائل مباشرة مشفرة من الطرف إلى الطرف باستخدام NIP-17.","translated"
"nostr.enable","Enable","تمكين","translated"
"nostr.identity","Nostr identity","هوية Nostr","translated"
"nostr.identityDescription","Derived from your seed via NIP-06 (a separate path) — your spending keys are never reused.","مشتقة من عبارتك عبر NIP-06 (مسار منفصل) — لا يعاد استخدام مفاتيح الإنفاق.","translated"
"nostr.invalidRelay","Enter a secure relay URL beginning with wss://","أدخل عنوان مرحل آمنًا يبدأ بـ wss://","translated"
"nostr.privacyWarning","Relay operators can still observe connection metadata, timing, and recipient tags. Encrypted content is not the same as network anonymity.","يمكن لمشغلي المرحلات رؤية بيانات الاتصال الوصفية والتوقيت ووسوم المستلمين. المحتوى المشفر لا يعني إخفاء هوية الشبكة.","translated"
"nostr.relays","Relays","المرحلات","stable-term"
"nostr.relaysDescription","WSS relays used for chat and the P2P-fusion transport. Add your own or use the defaults.","مرحلات WSS المستخدمة للمحادثة ونقل P2P Fusion. أضف مرحلاتك أو استخدم الإعدادات الافتراضية.","translated"
"nostr.remove","Remove","إزالة","translated"
"nostr.unknown","unknown","غير معروف","translated"
"nostr.unreachable","unreachable","يتعذر الوصول إليه","translated"
"notifications.dismiss","Dismiss","إغلاق","translated"
"notifications.fundsReceived","Funds received","تم استلام الأموال","translated"
"notifications.fundsReceivedBody","{amount} sats to {address} • {txid}","{amount} ساتوشي إلى {address} • {txid}","translated"
"notifications.incomingBch","Incoming BCH","BCH وارد","translated"
"notifications.incomingToken","Incoming token","رمز وارد","translated"
"notifications.transactionConfirmed","Transaction confirmed","تم تأكيد المعاملة","translated"
"notifications.unknownAddress","unknown address","عنوان غير معروف","translated"
"onboarding.back","Back","رجوع","translated"
"onboarding.closeHelp","Close help","إغلاق المساعدة","translated"
"onboarding.confirm","Confirm","تأكيد","translated"
"onboarding.confirmError","Those don't match your seed phrase. Check the words and try again.","العبارة غير مطابقة. تحقق من الكلمات وحاول مرة أخرى.","translated"
"onboarding.confirmInstruction","Type the requested words to prove you saved them correctly.","اكتب الكلمات المطلوبة للتأكد من حفظ العبارة بشكل صحيح.","translated"
