"key","English (en)","Portuguese (Brazil) (pt-BR)","Status"
"nostr.disable","Disable","Desativar","translated"
"nostr.dmDescription","End-to-end encrypted DMs using NIP-17.","Mensagens diretas criptografadas de ponta a ponta usando NIP-17.","translated"
"nostr.enable","Enable","Ativar","translated"
"nostr.identity","Nostr identity","Identidade Nostr","translated"
"nostr.identityDescription","Derived from your seed via NIP-06 (a separate path) — your spending keys are never reused.","Derivada da sua seed via NIP-06 (um caminho separado) — suas chaves de gasto nunca são reutilizadas.","translated"
"nostr.invalidRelay","Enter a secure relay URL beginning with wss://","Insira uma URL de relay segura começando com wss://","translated"
"nostr.privacyWarning","Relay operators can still observe connection metadata, timing, and recipient tags. Encrypted content is not the same as network anonymity.","Operadores de relay ainda podem observar metadados de conexão, horários e tags de destinatários. Conteúdo criptografado não é o mesmo que anonimato de rede.","translated"
"nostr.relays","Relays","Relays","stable-term"
"nostr.relaysDescription","WSS relays used for chat and the P2P-fusion transport. Add your own or use the defaults.","Relays WSS usados para chat e transporte P2P-Fusion. Adicione os seus ou use os padrões.","translated"
"nostr.remove","Remove","Remover","translated"
"nostr.unknown","unknown","desconhecido","translated"
"nostr.unreachable","unreachable","inacessível","translated"
"notifications.dismiss","Dismiss","Dispensar","translated"
"notifications.fundsReceived","Funds received","Fundos recebidos","translated"
"notifications.fundsReceivedBody","{amount} sats to {address} • {txid}","{amount} sats para {address} • {txid}","translated"
"notifications.incomingBch","Incoming BCH","BCH recebido","translated"
"notifications.incomingToken","Incoming token","Token recebido","translated"
"notifications.transactionConfirmed","Transaction confirmed","Transação confirmada","translated"
"notifications.unknownAddress","unknown address","endereço desconhecido","translated"
"onboarding.back","Back","Voltar","translated"
"onboarding.closeHelp","Close help","Fechar ajuda","translated"
"onboarding.confirm","Confirm","Confirmar","translated"
"onboarding.confirmError","Those don't match your seed phrase. Check the words and try again.","As palavras não correspondem à sua frase-semente. Confira-as e tente novamente.","translated"
"onboarding.confirmInstruction","Type the requested words to prove you saved them correctly.","Digite as palavras solicitadas para confirmar que você as salvou corretamente.","translated"
"onboarding.confirmPasswordPlaceholder","Confirm password","Confirmar senha","translated"
"onboarding.confirmSeed","Confirm Your Seed Phrase","Confirmar sua frase de recuperação","translated"
"onboarding.connectHardware","Connect Hardware Wallet","Conectar carteira de hardware","translated"
"onboarding.continue","Continue","Continuar","translated"
"onboarding.createNewWallet","Create New Wallet","Criar nova carteira","translated"
"onboarding.createWallet","Create Wallet","Criar carteira","translated"
"onboarding.createWatchOnly","Create Watch-Only Wallet","Criar carteira somente leitura","translated"
"onboarding.creating","Creating Wallet…","Criando carteira…","translated"
"onboarding.creationFailed","Wallet creation failed. Please try again.","Falha ao criar a carteira. Tente novamente.","translated"
"onboarding.databasePreparationFailed","Could not prepare the wallet on this device.","Não foi possível preparar a carteira neste dispositivo.","translated"
"onboarding.generatedMnemonic","Generated Mnemonic:","Frase de recuperação gerada:","translated"
"onboarding.generatingSeed","Generating seed phrase…","Gerando frase de recuperação…","translated"
"onboarding.helpCreateDescription","Use this if you want a new wallet with a fresh seed phrase on this device.","Use esta opção para criar uma nova carteira com uma frase-semente nova neste dispositivo.","translated"
"onboarding.helpCreateTitle","Create Wallet","Criar carteira","translated"
"onboarding.helpDescription","Create a wallet for the first time or restore one you already have.","Crie uma carteira pela primeira vez ou restaure uma que você já possui.","translated"
"onboarding.helpImportDescription","Use this if you already have a 12-word recovery phrase and want access to an existing wallet.","Use esta opção se você já tem uma frase de recuperação de 12 palavras e quer acessar uma carteira existente.","translated"
"onboarding.helpImportTitle","Import Wallet","Importar carteira","translated"
"onboarding.helpNetworkDescription","Select Mainnet for real funds or CHIPNET for test funds before you proceed.","Selecione Mainnet para fundos reais ou CHIPNET para fundos de teste antes de continuar.","translated"
"onboarding.helpNetworkTitle","Choose a network","Escolher uma rede","translated"
"onboarding.helpTitle","Getting started","Primeiros passos","translated"
"onboarding.importFailed","Wallet import failed. Please try again.","Falha ao importar a carteira. Tente novamente.","translated"
"onboarding.importing","Importing Wallet…","Importando carteira…","translated"
"onboarding.importWallet","Import Wallet","Importar carteira","translated"
"onboarding.invalidMnemonic","Enter a valid English BIP39 recovery phrase with 12, 15, 18, 21, or 24 words.","Insira uma frase de recuperação BIP39 válida em inglês com 12, 15, 18, 21 ou 24 palavras.","translated"
"onboarding.missingWord","Word {number} is missing.","A palavra {number} está faltando.","translated"
"onboarding.mnemonicLoading","The recovery phrase is still loading. Please wait a moment.","A frase de recuperação ainda está carregando. Aguarde um momento.","translated"
"onboarding.mnemonicWarning","Your recovery phrase is the master key to your wallet. Store it securely and never share it.","Sua frase de recuperação é a chave mestra da carteira. Guarde-a com segurança e nunca a compartilhe.","translated"
"onboarding.nameRequired","Give this wallet a name.","Dê um nome a esta carteira.","translated"
"onboarding.nameWallet","Name This Wallet","Nomear esta carteira","translated"
"onboarding.nameWalletDescription","Give this wallet a name and a password. Each wallet on this device has its own independent password.","Dê um nome e uma senha para esta carteira. Cada carteira neste dispositivo tem sua própria senha independente.","translated"
"onboarding.passwordMismatch","Passwords do not match.","As senhas não coincidem.","translated"
"onboarding.passwordPlaceholder","Password (or leave blank)","Senha (ou deixe em branco)","translated"
"onboarding.poweredBy","Powered with Bitcoin Covenants for Bitcoin Cash","Desenvolvida com Bitcoin Covenants para Bitcoin Cash","translated"
"onboarding.recoveryDescription","Enter your BIP39 recovery phrase (12, 15, 18, 21, or 24 words). Each box corresponds to the word order.","Digite sua frase de recuperação BIP39 em inglês (12, 15, 18, 21 ou 24 palavras). Cada campo corresponde à ordem da palavra.","translated"
"onboarding.recoveryPhrase","Recovery Phrase","Frase de recuperação","translated"
"onboarding.seedInstruction","Write these 12 words down in order and keep them somewhere safe. Anyone with this phrase can spend your funds — never share it or store it digitally.","Anote estas 12 palavras na ordem e guarde-as em um local seguro. Qualquer pessoa com esta frase pode gastar seus fundos — nunca a compartilhe nem a armazene digitalmente.","translated"
"onboarding.seedTitle","Your Seed Phrase","Sua frase de recuperação","translated"
"onboarding.toggleTheme","Toggle theme","Alternar tema","translated"
"onboarding.walletAlreadyAvailable","This wallet is already available on this device.","Esta carteira já está disponível neste dispositivo.","translated"
"onboarding.walletAlreadyExists","This wallet may already exist on this device.","Esta carteira pode já existir neste dispositivo.","translated"
"onboarding.walletNamePlaceholder","Wallet name","Nome da carteira","translated"
"onboarding.walletSavedIdFailed","Wallet was saved, but its wallet ID could not be resolved.","A carteira foi salva, mas não foi possível resolver o ID da carteira.","translated"
"onboarding.walletSetup","Wallet Setup","Configuração da carteira","translated"
"onboarding.walletSetupDescription","Choose the network and address path this wallet will use.","Escolha a rede e o caminho de endereços que esta carteira usará.","translated"
"onboarding.welcomeAlt","Smart BCH Wallet","Carteira Smart BCH","stable-term"
"onboarding.word","Word","Palavra","translated"
"onboarding.wordCountLabel","Phrase length","Tamanho da frase","translated"
"onboarding.wordPlaceholder","word","palavra","translated"
"onboarding.words","words","palavras","translated"
"onboarding.wroteItDown","I've written it down","Eu anotei","translated"
"outbox.amount","Amount","Valor","translated"
"outbox.clearPending","Clear pending lock","Limpar bloqueio pendente","translated"
"outbox.clearPendingTitle","Clear this pending lock if the transaction was not actually sent","Limpar este bloqueio se a transação não tiver sido enviada","translated"
"outbox.copyTxid","Copy txid","Copiar txid","translated"
"outbox.daysAgo","{count}d ago","há {count} d","translated"
"outbox.description","Offline-first protection keeps new sends paused until these transactions are seen or safely released.","A proteção offline mantém novos envios pausados até que estas transações sejam vistas ou liberadas com segurança.","translated"
