"key","English (en)","Russian (ru)","Status"
"quantumroot.vaults","Vaults","Хранилища","translated"
"quantumroot.workspaceRefreshFailed","Workspace Refresh Failed","Не удалось обновить рабочую область","translated"
"receive.addressesNotReady","Receive addresses not ready","Адреса получения не готовы","translated"
"receive.amountBch","Amount (BCH)","Сумма (BCH)","translated"
"receive.back","Back","Назад","translated"
"receive.bip21Active","Request details are active and the QR is now encoding the BIP21 URI.","Данные запроса активны, и QR теперь кодирует URI BIP21.","translated"
"receive.bip21Description","Encode amount, label, and message into the QR payload.","Закодируйте сумму, метку и сообщение в нагрузке QR.","translated"
"receive.bip21Help","When enabled, the QR and copied payload use a BIP21-style `bitcoincash:` URI so compatible wallets can autofill request details.","После включения QR и скопированная нагрузка используют URI в стиле BIP21 `bitcoincash:`, чтобы совместимые кошельки могли заполнить данные запроса автоматически.","translated"
"receive.bip21Title","BIP21 payment request","Платёжный запрос BIP21","translated"
"receive.cashToken","CashToken","CashToken","stable-term"
"receive.change","Change","Сдача","translated"
"receive.changeAddressCount","{count} change addresses","Адресов сдачи: {count}","translated"
"receive.clear","Clear","Очистить","translated"
"receive.close","Close","Закрыть","translated"
"receive.copied","Copied to clipboard!","Скопировано в буфер обмена!","translated"
"receive.copyBip21","Copy BIP21 URI","Копировать URI BIP21","translated"
"receive.copyFailed","Failed to copy.","Не удалось скопировать.","translated"
"receive.copyQrPayload","Copy receive QR payload","Копировать нагрузку QR получения","translated"
"receive.dismiss","Dismiss","Закрыть","translated"
"receive.dismissUnlockAlert","Dismiss unlock alert","Закрыть предупреждение о разблокировке","translated"
"receive.label","Label","Метка","translated"
"receive.main","Main","Основные","translated"
"receive.mainAddressCount","{count} main addresses","Основных адресов: {count}","translated"
"receive.message","Message","Сообщение","stable-term"
"receive.noAddressesLoaded","This wallet does not have receive addresses loaded yet.","Адреса получения этого кошелька ещё не загружены.","translated"
"receive.noBranchAddresses","No addresses found in this branch yet.","В этой ветви адреса не найдены.","translated"
"receive.noVaultFunds","No Quantumroot vault funds detected yet.","Средства хранилища Quantumroot пока не обнаружены.","translated"
"receive.openQrPreview","Open larger QR code preview","Открыть увеличенный просмотр QR","translated"
"receive.optional","Optional","Необязательно","translated"
"receive.optionalExample","Optional, e.g. 0.0105","Необязательно, например 0,0105","translated"
"receive.prepareAddresses","Prepare receive addresses","Подготовить адреса получения","translated"
"receive.prepareAddressesDescription","Prepare addresses to show your receive QR and address list.","Подготовьте адреса, чтобы показать QR и список адресов получения.","translated"
"receive.privKeyReady","Private key view unlocked","Просмотр закрытого ключа разблокирован","translated"
"receive.privKeyUnlock","Private key unlock in {count} taps","Разблокировка закрытого ключа через {count} нажатий","translated"
"receive.pubKeyTapProgress","PubKey pressed {count}/{total} times","PubKey нажата {count}/{total} раз","translated"
"receive.qrCopyDescription","Tap the QR to copy the current payload. Close to return.","Нажмите QR, чтобы скопировать текущую нагрузку. Закройте окно, чтобы вернуться.","translated"
"receive.quantumLock","Quantum Lock","Quantum Lock","stable-term"
"receive.quantumLockAddress","Quantum Lock Address","Адрес Quantum Lock","translated"
"receive.quantumrootStatus","Quantumroot Status","Состояние Quantumroot","translated"
"receive.readOnlyStatus","This view is read-only. It shows vault status and key receive data, but no spending or recovery actions.","Это представление доступно только для чтения. Здесь показаны состояние хранилища и данные получения, но нет операций траты или восстановления.","translated"
"receive.receiveAddress","Receive Address","Адрес получения","translated"
"receive.receiveBalance","Receive Balance","Баланс получения","translated"
"receive.receiveQr","Receive QR","QR получения","translated"
"receive.regular","Regular","Обычный","translated"
"receive.seeAllAddresses","See all addresses","Показать все адреса","translated"
"receive.switch","Switch","Сменить","translated"
"receive.switchAddress","Switch address","Сменить адрес","translated"
"receive.syncing","Syncing…","Синхронизация…","translated"
"receive.tapPubKey","Tap PubKey to reveal the private key view.","Нажмите PubKey, чтобы открыть просмотр закрытого ключа.","translated"
"receive.title","Receive","Получить","translated"
"receive.toggleAddressType","Toggle receive address type","Сменить тип адреса получения","translated"
"receive.unavailable","Unavailable","Недоступно","translated"
"reconfiguration.changingPath","Changing derivation path","Изменение пути деривации","translated"
"reconfiguration.clearing","Clearing old wallet data","Очистка старых данных кошелька","translated"
"reconfiguration.clearingDetail","Removing the previous address, history, and UTXO records.","Удаление прежних адресов, истории и записей UTXO.","translated"
"reconfiguration.deriving","Generating wallet addresses","Создание адресов кошелька","translated"
"reconfiguration.derivingDetail","Creating the receive and change addresses for this wallet path.","Создание адресов получения и сдачи для этого пути.","translated"
"reconfiguration.dismiss","Dismiss","Закрыть","translated"
